rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
482,309,0.044721,0.997253,0.0010,0.0000,0.003218,0.003218,0.000000,tool
483,661,-0.044721,0.997016,0.0000,0.0010,-0.006641,0.000000,0.006641,nontool
484,347,-0.044721,0.997002,0.0000,0.0010,-0.005141,0.000000,0.005141,nontool
485,219,-0.044721,0.997002,0.0000,0.0010,-0.008258,0.000000,0.008258,nontool
486,159,-0.044721,0.997002,0.0000,0.0010,-0.008247,0.000000,0.008247,nontool
487,420,0.044721,0.997503,0.0010,0.0000,0.009943,0.009943,0.000000,tool
488,619,-0.044721,0.997002,0.0000,0.0010,-0.004773,0.000000,0.004773,nontool
489,96,0.044721,0.997253,0.0010,0.0000,0.002872,0.002872,0.000000,tool
490,793,-0.044721,0.997002,0.0000,0.0010,-0.005762,0.000000,0.005762,nontool
491,461,-0.044721,0.997002,0.0000,0.0010,-0.004097,0.000000,0.004097,nontool
492,513,-0.044721,0.997002,0.0000,0.0010,-0.004930,0.000000,0.004930,nontool
493,572,0.044721,0.997503,0.0010,0.0000,0.004552,0.004552,0.000000,tool
494,607,-0.044721,0.997002,0.0000,0.0010,-0.006969,0.000000,0.006969,nontool
495,491,-0.044721,0.997002,0.0000,0.0010,-0.004332,0.000000,0.004332,nontool
496,557,-0.044721,0.997002,0.0000,0.0010,-0.007272,0.000000,0.007272,nontool
497,421,-0.044721,0.997002,0.0000,0.0010,-0.003637,0.000000,0.003637,nontool
498,310,0.044721,0.997503,0.0010,0.0000,0.006720,0.006720,0.000000,tool
499,74,-0.044721,0.997002,0.0000,0.0010,-0.005790,0.000000,0.005790,nontool
500,182,-0.044721,0.997002,0.0000,0.0010,-0.004547,0.000000,0.004547,nontool
501,329,-0.044721,0.997002,0.0000,0.0010,-0.006089,0.000000,0.006089,nontool
502,85,0.044721,0.997128,0.0010,0.0000,0.011232,0.011232,0.000000,tool
503,251,-0.044721,0.997002,0.0000,0.0010,-0.005444,0.000000,0.005444,nontool
504,755,-0.044721,0.997032,0.0000,0.0010,-0.004935,0.000000,0.004935,nontool
