rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
247,1363,-0.095039,0.974246,0.0110,0.0190,-0.051842,0.036145,0.087988,nontool
248,1142,-0.094673,0.992536,0.0000,0.0050,-0.029728,0.000000,0.029728,nontool
249,1533,-0.094456,0.965595,0.0180,0.0260,-0.060538,0.063186,0.123725,nontool
250,1138,0.094412,0.994063,0.0110,0.0040,0.042442,0.059493,0.017051,tool
251,971,0.093584,0.997015,0.0080,0.0010,0.036587,0.043437,0.006850,tool
252,1545,-0.093562,0.986475,0.0030,0.0100,-0.034003,0.012166,0.046168,nontool
253,1635,0.093446,0.996027,0.0090,0.0020,0.036282,0.046853,0.010571,tool
254,1452,-0.093244,0.992508,0.0000,0.0050,-0.032342,0.000000,0.032342,nontool
255,993,-0.093143,0.991884,0.0010,0.0060,-0.032526,0.004215,0.036741,nontool
256,1007,-0.093091,0.981439,0.0060,0.0140,-0.041863,0.023730,0.065593,nontool
257,1401,0.091886,0.994089,0.0110,0.0040,0.059865,0.079756,0.019891,tool
258,947,-0.091885,0.990247,0.0010,0.0070,-0.023805,0.004460,0.028265,nontool
259,1381,-0.091795,0.970855,0.0060,0.0220,-0.095705,0.061262,0.156967,nontool
260,1625,-0.091695,0.990233,0.0020,0.0070,-0.041186,0.007748,0.048934,nontool
261,1010,0.091541,0.974531,0.0410,0.0200,0.077818,0.183728,0.105910,tool
262,821,0.091514,0.997024,0.0070,0.0010,0.033298,0.039244,0.005945,tool
263,820,0.091259,0.997660,0.0050,0.0000,0.081905,0.081905,0.000000,tool
264,1608,-0.090673,0.986514,0.0040,0.0100,-0.034968,0.014210,0.049178,nontool
265,1257,-0.090406,0.731882,0.3170,0.2200,-0.167880,0.960900,1.128780,nontool
266,857,0.090228,0.997012,0.0070,0.0010,0.034208,0.040100,0.005892,tool
267,1425,-0.090211,0.992520,0.0000,0.0050,-0.031409,0.000000,0.031409,nontool
268,1046,-0.089387,0.994034,0.0000,0.0040,-0.015047,0.000000,0.015047,nontool
269,1430,-0.089369,0.994011,0.0000,0.0040,-0.019794,0.000000,0.019794,nontool
270,1182,-0.089222,0.994005,0.0000,0.0040,-0.021694,0.000000,0.021694,nontool
271,1201,-0.089065,0.994005,0.0000,0.0040,-0.020422,0.000000,0.020422,nontool
272,1170,-0.089018,0.994005,0.0000,0.0040,-0.016442,0.000000,0.016442,nontool
273,1344,-0.088952,0.994010,0.0000,0.0040,-0.022652,0.000000,0.022652,nontool
274,1038,-0.088934,0.965469,0.0170,0.0260,-0.052788,0.060069,0.112856,nontool
275,1084,-0.088916,0.994064,0.0000,0.0040,-0.024079,0.000000,0.024079,nontool
276,1043,-0.088875,0.994011,0.0000,0.0040,-0.022929,0.000000,0.022929,nontool
277,1008,-0.088849,0.994017,0.0000,0.0040,-0.026675,0.000000,0.026675,nontool
278,1079,0.088617,0.997010,0.0070,0.0010,0.019369,0.023430,0.004062,tool
279,1516,-0.088265,0.994010,0.0000,0.0040,-0.020657,0.000000,0.020657,nontool
280,1254,-0.088257,0.994005,0.0000,0.0040,-0.017745,0.000000,0.017745,nontool
281,1302,-0.088097,0.994005,0.0000,0.0040,-0.023794,0.000000,0.023794,nontool
282,1590,-0.087984,0.994005,0.0000,0.0040,-0.028587,0.000000,0.028587,nontool
283,914,-0.087581,0.994005,0.0000,0.0040,-0.020455,0.000000,0.020455,nontool
284,1414,-0.087372,0.994010,0.0000,0.0040,-0.022369,0.000000,0.022369,nontool
285,1327,-0.087164,0.994005,0.0000,0.0040,-0.033838,0.000000,0.033838,nontool
286,842,-0.087052,0.991897,0.0010,0.0060,-0.027490,0.004654,0.032144,nontool
287,1339,-0.086842,0.994005,0.0000,0.0040,-0.024035,0.000000,0.024035,nontool
288,1200,0.086764,0.997786,0.0040,0.0000,0.023217,0.023217,0.000000,tool
289,1538,0.086627,0.997660,0.0050,0.0000,0.048209,0.048209,0.000000,tool
290,997,-0.086259,0.994009,0.0000,0.0040,-0.029563,0.000000,0.029563,nontool
291,1392,-0.085845,0.994005,0.0000,0.0040,-0.023369,0.000000,0.023369,nontool
292,1280,0.085502,0.987330,0.0210,0.0090,0.043720,0.082878,0.039158,tool
293,1637,0.085081,0.990297,0.0160,0.0070,0.052676,0.087491,0.034815,tool
294,1275,-0.084947,0.994005,0.0000,0.0040,-0.027804,0.000000,0.027804,nontool
295,1211,-0.084817,0.976680,0.0110,0.0170,-0.058743,0.049641,0.108384,nontool
296,1209,0.084653,0.994043,0.0100,0.0040,0.053007,0.073857,0.020849,tool
297,1313,0.084543,0.997011,0.0060,0.0010,0.018868,0.022438,0.003571,tool
298,1159,0.084007,0.995076,0.0120,0.0030,0.033533,0.050340,0.016807,tool
299,1137,-0.083729,0.991946,0.0010,0.0060,-0.047870,0.007307,0.055177,nontool
300,907,-0.083509,0.992522,0.0010,0.0050,-0.023094,0.003274,0.026368,nontool
301,1264,0.083180,0.976267,0.0330,0.0180,0.122117,0.284095,0.161978,tool
302,1613,-0.083160,0.971441,0.0180,0.0210,-0.062698,0.067264,0.129962,nontool
303,1146,0.082527,0.997021,0.0060,0.0010,0.024642,0.029247,0.004604,tool
304,1260,0.081547,0.986540,0.0240,0.0100,0.044052,0.092149,0.048097,tool
305,1413,0.081367,0.997014,0.0060,0.0010,0.030916,0.034766,0.003849,tool
306,1245,-0.081279,0.985070,0.0040,0.0110,-0.032482,0.018125,0.050607,nontool
307,1615,-0.081044,0.991902,0.0010,0.0060,-0.025646,0.005736,0.031382,nontool
308,875,-0.081022,0.987274,0.0030,0.0090,-0.032933,0.014513,0.047446,nontool
309,1440,-0.080814,0.990261,0.0020,0.0070,-0.031801,0.009972,0.041774,nontool
310,1287,-0.080264,0.992568,0.0010,0.0050,-0.022728,0.004099,0.026828,nontool
311,992,0.080262,0.996050,0.0070,0.0020,0.032439,0.043245,0.010806,tool
312,1229,0.080217,0.987803,0.0120,0.0090,0.066677,0.113587,0.046910,tool
313,1543,-0.079960,0.994005,0.0000,0.0040,-0.041384,0.000000,0.041384,nontool
314,1374,-0.079747,0.991889,0.0010,0.0060,-0.028789,0.006443,0.035232,nontool
315,1547,0.079087,0.983722,0.0250,0.0120,0.047442,0.103645,0.056203,tool
316,1603,-0.077747,0.990248,0.0020,0.0070,-0.027989,0.009196,0.037185,nontool
317,1458,0.077536,0.997506,0.0030,0.0000,0.012676,0.012676,0.000000,tool
318,1632,0.077536,0.997505,0.0030,0.0000,0.012115,0.012115,0.000000,tool
319,1504,-0.077518,0.995033,0.0000,0.0030,-0.015835,0.000000,0.015835,nontool
320,1213,-0.077470,0.995004,0.0000,0.0030,-0.014875,0.000000,0.014875,nontool
321,1019,0.077468,0.997314,0.0030,0.0000,0.017813,0.017813,0.000000,tool
322,823,-0.077452,0.995004,0.0000,0.0030,-0.013730,0.000000,0.013730,nontool
323,1033,-0.077450,0.995004,0.0000,0.0030,-0.019873,0.000000,0.019873,nontool
324,856,-0.077406,0.991896,0.0020,0.0060,-0.021431,0.006587,0.028018,nontool
325,1451,-0.077375,0.995004,0.0000,0.0030,-0.013257,0.000000,0.013257,nontool
326,832,-0.077198,0.995064,0.0000,0.0030,-0.016441,0.000000,0.016441,nontool
327,1486,0.077150,0.996047,0.0060,0.0020,0.029420,0.037767,0.008348,tool
328,1578,-0.077100,0.995004,0.0000,0.0030,-0.015462,0.000000,0.015462,nontool
329,1487,-0.077080,0.995033,0.0000,0.0030,-0.017837,0.000000,0.017837,nontool
330,825,0.077000,0.939285,0.0560,0.0480,0.108013,0.363288,0.255274,tool
331,1114,0.076964,0.997628,0.0030,0.0000,0.022787,0.022787,0.000000,tool
332,1210,-0.076934,0.983642,0.0060,0.0120,-0.067277,0.034324,0.101601,nontool
333,828,-0.076890,0.995004,0.0000,0.0030,-0.020154,0.000000,0.020154,nontool
334,1600,0.076871,0.997512,0.0030,0.0000,0.012970,0.012970,0.000000,tool
335,898,-0.076870,0.995065,0.0000,0.0030,-0.012130,0.000000,0.012130,nontool
336,852,-0.076689,0.995004,0.0000,0.0030,-0.012860,0.000000,0.012860,nontool
337,1531,0.076669,0.997255,0.0030,0.0000,0.012169,0.012169,0.000000,tool
338,1316,-0.076574,0.995004,0.0000,0.0030,-0.014381,0.000000,0.014381,nontool
339,1165,-0.076542,0.995004,0.0000,0.0030,-0.016968,0.000000,0.016968,nontool
340,1522,-0.076497,0.995033,0.0000,0.0030,-0.016896,0.000000,0.016896,nontool
341,1544,-0.076404,0.995018,0.0000,0.0030,-0.015745,0.000000,0.015745,nontool
