name,architecture,variant_family,regime,dict_size,topk,exclusive_pct,exclusive_pct_label,model_side,metric_family,stage,value
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,format_accuracy,post,35.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,overall_score,post,0.05
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,overall_score,post,-0.7
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,tool_correctness,post,35.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,tool_correctness,post,15.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,format_accuracy,delta,16.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,overall_score,delta,0.48
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,overall_score,delta,0.3
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,tool_correctness,delta,16.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,tool_correctness,delta,15.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,post,49.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,post,0.47
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,post,-0.92
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,post,49.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,post,4.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,delta,30.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,delta,0.9
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,delta,0.08
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,delta,30.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,delta,4.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,post,58.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,post,0.76
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,post,-0.76
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,post,59.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,post,12.0
