dict_size,exclusive_pct,regime,metric,comparison,delta
8192,0.1,DFC free-exclusive,tool_correctness_B_post,45->160,-6.0
8192,0.1,DFC penalized-exclusive,format_accuracy_A_post,45->90,-2.0
8192,0.1,DFC penalized-exclusive,format_accuracy_B_post,45->90,0.0
8192,0.1,DFC penalized-exclusive,overall_score_A_post,45->90,-0.09999999999999998
8192,0.1,DFC penalized-exclusive,overall_score_B_post,45->90,-0.36
8192,0.1,DFC penalized-exclusive,tool_correctness_A_post,45->90,-4.0
8192,0.1,DFC penalized-exclusive,tool_correctness_B_post,45->90,-18.0
8192,0.1,DFC penalized-exclusive,format_accuracy_A_post,90->160,-10.0
8192,0.1,DFC penalized-exclusive,format_accuracy_B_post,90->160,0.0
8192,0.1,DFC penalized-exclusive,overall_score_A_post,90->160,-0.27999999999999997
8192,0.1,DFC penalized-exclusive,overall_score_B_post,90->160,0.12
8192,0.1,DFC penalized-exclusive,tool_correctness_A_post,90->160,-9.0
8192,0.1,DFC penalized-exclusive,tool_correctness_B_post,90->160,6.0
8192,0.1,DFC penalized-exclusive,format_accuracy_A_post,45->160,-12.0
8192,0.1,DFC penalized-exclusive,format_accuracy_B_post,45->160,0.0
8192,0.1,DFC penalized-exclusive,overall_score_A_post,45->160,-0.37999999999999995
8192,0.1,DFC penalized-exclusive,overall_score_B_post,45->160,-0.24
8192,0.1,DFC penalized-exclusive,tool_correctness_A_post,45->160,-13.0
8192,0.1,DFC penalized-exclusive,tool_correctness_B_post,45->160,-12.0
16384,0.0,CrossCoder + L1,format_accuracy_A_post,45->90,-6.0
16384,0.0,CrossCoder + L1,format_accuracy_B_post,45->90,0.0
16384,0.0,CrossCoder + L1,overall_score_A_post,45->90,-0.18000000000000005
16384,0.0,CrossCoder + L1,overall_score_B_post,45->90,-0.17999999999999994
16384,0.0,CrossCoder + L1,tool_correctness_A_post,45->90,-6.0
16384,0.0,CrossCoder + L1,tool_correctness_B_post,45->90,-9.0
16384,0.0,CrossCoder + L1,format_accuracy_A_post,90->160,21.0
16384,0.0,CrossCoder + L1,format_accuracy_B_post,90->160,0.0
16384,0.0,CrossCoder + L1,overall_score_A_post,90->160,0.63
16384,0.0,CrossCoder + L1,overall_score_B_post,90->160,0.019999999999999907
16384,0.0,CrossCoder + L1,tool_correctness_A_post,90->160,21.0
16384,0.0,CrossCoder + L1,tool_correctness_B_post,90->160,1.0
16384,0.0,CrossCoder + L1,format_accuracy_A_post,45->160,15.0
16384,0.0,CrossCoder + L1,format_accuracy_B_post,45->160,0.0
16384,0.0,CrossCoder + L1,overall_score_A_post,45->160,0.44999999999999996
16384,0.0,CrossCoder + L1,overall_score_B_post,45->160,-0.16000000000000003
16384,0.0,CrossCoder + L1,tool_correctness_A_post,45->160,15.0
16384,0.0,CrossCoder + L1,tool_correctness_B_post,45->160,-8.0
16384,0.0,CrossCoder no-L1,format_accuracy_A_post,45->90,-18.0
16384,0.0,CrossCoder no-L1,format_accuracy_B_post,45->90,0.0
16384,0.0,CrossCoder no-L1,overall_score_A_post,45->90,-0.5399999999999999
16384,0.0,CrossCoder no-L1,overall_score_B_post,45->90,0.020000000000000018
16384,0.0,CrossCoder no-L1,tool_correctness_A_post,45->90,-18.0
16384,0.0,CrossCoder no-L1,tool_correctness_B_post,45->90,1.0
16384,0.0,CrossCoder no-L1,format_accuracy_A_post,90->160,7.0
16384,0.0,CrossCoder no-L1,format_accuracy_B_post,90->160,0.0
16384,0.0,CrossCoder no-L1,overall_score_A_post,90->160,0.21000000000000002
16384,0.0,CrossCoder no-L1,overall_score_B_post,90->160,0.0
16384,0.0,CrossCoder no-L1,tool_correctness_A_post,90->160,7.0
