dict_size,regime,topk,metric_family,model_side,mean,median,min,max,count
16384,CrossCoder + L1,160,overall_score,A,1.0,1.0,1.0,1.0,1
16384,CrossCoder + L1,160,overall_score,B,-0.92,-0.92,-0.92,-0.92,1
16384,CrossCoder + L1,160,tool_correctness,A,67.0,67.0,67.0,67.0,1
16384,CrossCoder + L1,160,tool_correctness,B,4.0,4.0,4.0,4.0,1
16384,CrossCoder no-L1,45,format_accuracy,A,53.0,53.0,53.0,53.0,1
16384,CrossCoder no-L1,45,format_accuracy,B,0.0,0.0,0.0,0.0,1
16384,CrossCoder no-L1,45,overall_score,A,0.59,0.59,0.59,0.59,1
16384,CrossCoder no-L1,45,overall_score,B,-0.72,-0.72,-0.72,-0.72,1
16384,CrossCoder no-L1,45,tool_correctness,A,53.0,53.0,53.0,53.0,1
16384,CrossCoder no-L1,45,tool_correctness,B,14.0,14.0,14.0,14.0,1
16384,CrossCoder no-L1,90,format_accuracy,A,35.0,35.0,35.0,35.0,1
16384,CrossCoder no-L1,90,format_accuracy,B,0.0,0.0,0.0,0.0,1
16384,CrossCoder no-L1,90,overall_score,A,0.05,0.05,0.05,0.05,1
16384,CrossCoder no-L1,90,overall_score,B,-0.7,-0.7,-0.7,-0.7,1
16384,CrossCoder no-L1,90,tool_correctness,A,35.0,35.0,35.0,35.0,1
16384,CrossCoder no-L1,90,tool_correctness,B,15.0,15.0,15.0,15.0,1
16384,CrossCoder no-L1,160,format_accuracy,A,42.0,42.0,42.0,42.0,1
16384,CrossCoder no-L1,160,format_accuracy,B,0.0,0.0,0.0,0.0,1
16384,CrossCoder no-L1,160,overall_score,A,0.26,0.26,0.26,0.26,1
16384,CrossCoder no-L1,160,overall_score,B,-0.7,-0.7,-0.7,-0.7,1
16384,CrossCoder no-L1,160,tool_correctness,A,42.0,42.0,42.0,42.0,1
16384,CrossCoder no-L1,160,tool_correctness,B,15.0,15.0,15.0,15.0,1
16384,DFC free-exclusive,45,format_accuracy,A,43.333333333333336,48.0,33.0,49.0,3
16384,DFC free-exclusive,45,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,45,overall_score,A,0.30666666666666664,0.44,-0.01,0.49,3
16384,DFC free-exclusive,45,overall_score,B,-0.9133333333333333,-0.88,-0.98,-0.88,3
16384,DFC free-exclusive,45,tool_correctness,A,43.666666666666664,48.0,33.0,50.0,3
16384,DFC free-exclusive,45,tool_correctness,B,4.333333333333333,6.0,1.0,6.0,3
16384,DFC free-exclusive,90,format_accuracy,A,47.0,43.0,41.0,57.0,3
16384,DFC free-exclusive,90,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,90,overall_score,A,0.41666666666666663,0.33,0.23,0.69,3
16384,DFC free-exclusive,90,overall_score,B,-0.7666666666666666,-0.82,-0.86,-0.62,3
16384,DFC free-exclusive,90,tool_correctness,A,47.333333333333336,45.0,41.0,56.0,3
16384,DFC free-exclusive,90,tool_correctness,B,11.666666666666666,9.0,7.0,19.0,3
16384,DFC free-exclusive,160,format_accuracy,A,55.333333333333336,58.0,49.0,59.0,3
16384,DFC free-exclusive,160,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,160,overall_score,A,0.66,0.74,0.49,0.75,3
16384,DFC free-exclusive,160,overall_score,B,-0.9333333333333333,-0.94,-0.94,-0.92,3
16384,DFC free-exclusive,160,tool_correctness,A,55.333333333333336,58.0,50.0,58.0,3
16384,DFC free-exclusive,160,tool_correctness,B,3.3333333333333335,3.0,3.0,4.0,3
16384,DFC penalized-exclusive,45,format_accuracy,A,45.666666666666664,45.0,42.0,50.0,3
16384,DFC penalized-exclusive,45,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,45,overall_score,A,0.39666666666666667,0.37,0.28,0.54,3
16384,DFC penalized-exclusive,45,overall_score,B,-0.8933333333333333,-0.88,-0.94,-0.86,3
16384,DFC penalized-exclusive,45,tool_correctness,A,47.0,46.0,43.0,52.0,3
16384,DFC penalized-exclusive,45,tool_correctness,B,5.333333333333333,6.0,3.0,7.0,3
16384,DFC penalized-exclusive,90,format_accuracy,A,45.5,45.5,42.0,49.0,2
16384,DFC penalized-exclusive,90,format_accuracy,B,0.0,0.0,0.0,0.0,2
16384,DFC penalized-exclusive,90,overall_score,A,0.375,0.375,0.26,0.49,2
16384,DFC penalized-exclusive,90,overall_score,B,-0.8999999999999999,-0.8999999999999999,-0.94,-0.86,2
16384,DFC penalized-exclusive,90,tool_correctness,A,46.0,46.0,42.0,50.0,2
16384,DFC penalized-exclusive,90,tool_correctness,B,5.0,5.0,3.0,7.0,2
16384,DFC penalized-exclusive,160,format_accuracy,A,51.0,52.0,49.0,52.0,3
16384,DFC penalized-exclusive,160,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,160,overall_score,A,0.55,0.56,0.49,0.6,3
16384,DFC penalized-exclusive,160,overall_score,B,-0.8866666666666667,-0.9,-0.92,-0.84,3
16384,DFC penalized-exclusive,160,tool_correctness,A,52.0,52.0,50.0,54.0,3
16384,DFC penalized-exclusive,160,tool_correctness,B,5.666666666666667,5.0,4.0,8.0,3
