name,skipped,overall_score_A_pre,overall_score_A_pre_std,overall_score_A_post,overall_score_A_post_std,overall_score_A_delta,format_accuracy_A_pre,format_accuracy_A_post,format_accuracy_A_delta,tool_correctness_A_pre,tool_correctness_A_post,tool_correctness_A_delta,overall_score_B_pre,overall_score_B_pre_std,overall_score_B_post,overall_score_B_post_std,overall_score_B_delta,format_accuracy_B_pre,format_accuracy_B_post,format_accuracy_B_delta,tool_correctness_B_pre,tool_correctness_B_post,tool_correctness_B_delta,n_evaluated,architecture,model_a,model_b,layer,activation_dim,dict_size,k,model_a_exclusive_pct,model_b_exclusive_pct,steps,lr,train_batch,sparsity_coef,exclusive_sparsity_coef,loss,wandb_project,trained_at,parsed_architecture,parsed_dict_size,parsed_topk,parsed_exclusive_pct,parsed_use_l1,parsed_free_exclusive,exclusive_pct,is_crosscoder_baseline,variant_family,free_exclusive,uses_l1,uses_exclusive_l1,regime,exclusive_pct_label
antebe1/dfc-D16k-excl5-k160,0,-0.43,1.1769,0.49,1.4933,0.92,19.0,49.0,30.0,19.0,50.0,31.0,-1.0,0.0,-0.92,0.3919,0.08,0.0,0.0,0.0,0.0,4.0,4.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T09:16:25+00:00,DFC,16384,160,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
antebe1/dfc-D16k-excl5-k45,0,-0.43,1.1769,0.37,1.4876,0.8,19.0,45.0,26.0,19.0,46.0,27.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T06:36:38+00:00,DFC,16384,45,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
antebe1/dfc-D16k-excl5-k90,0,-0.43,1.1769,0.49,1.4933,0.92,19.0,49.0,30.0,19.0,50.0,31.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,90,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T07:56:26+00:00,DFC,16384,90,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
antebe1/dfc-D8k-excl10-freeexcl-k160,0,-0.43,1.1769,1.49,1.1269,1.92,19.0,83.0,64.0,19.0,83.0,64.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T05:46:13+00:00,DFC,8192,160,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D8k-excl10-freeexcl-k45,0,-0.43,1.1769,0.27,1.4687,0.7,19.0,41.0,22.0,19.0,43.0,24.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T02:57:55+00:00,DFC,8192,45,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D8k-excl10-freeexcl-k90,0,-0.43,1.1769,0.56,1.4988,0.99,19.0,52.0,33.0,19.0,52.0,33.0,-1.0,0.0,-0.82,0.5724,0.18,0.0,0.0,0.0,0.0,9.0,9.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T05:03:28+00:00,DFC,8192,90,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D8k-excl10-k160,0,-0.43,1.1769,0.32,1.4892,0.75,19.0,44.0,25.0,19.0,44.0,25.0,-1.0,0.0,-0.84,0.5426,0.16,0.0,0.0,0.0,0.0,8.0,8.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.1,0.1,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T05:46:08+00:00,DFC,8192,160,0.1,True,False,0.1,False,DFC,False,True,True,DFC penalized-exclusive,10%
antebe1/dfc-D8k-excl10-k45,0,-0.43,1.1769,0.7,1.4799,1.13,19.0,56.0,37.0,19.0,57.0,38.0,-1.0,0.0,-0.6,0.8,0.4,0.0,0.0,0.0,0.0,20.0,20.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.1,0.1,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T02:57:51+00:00,DFC,8192,45,0.1,True,False,0.1,False,DFC,False,True,True,DFC penalized-exclusive,10%
antebe1/dfc-D8k-excl10-k90,0,-0.43,1.1769,0.6,1.49,1.03,19.0,54.0,35.0,19.0,53.0,34.0,-1.0,0.0,-0.96,0.28,0.04,0.0,0.0,0.0,0.0,2.0,2.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.1,0.1,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T05:03:22+00:00,DFC,8192,90,0.1,True,False,0.1,False,DFC,False,True,True,DFC penalized-exclusive,10%
antebe1/dfc-D8k-excl3-freeexcl-k160,0,-0.43,1.1769,0.68,1.4892,1.11,19.0,56.0,37.0,19.0,56.0,37.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T05:24:47+00:00,DFC,8192,160,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
